commit	value	status	description
79c53b4	51.48	keep	baseline: index.js 25.31 + index.css 26.17 kB gzip
fe28a09	44.62	keep	leaflet CSS → lazy chunks (-6.89 kB css gzip)
discard	44.59	discard	manualChunks function — vendor-react+router net +2.63 kB хуже
36551ad	29.43	keep	удалить неиспользуемый i18next: index.js 10.15 kB (-15.16 kB gzip, -60%!)
6f03605	14.20	keep	минимальный fonts.css (только woff2 cyr+lat): index.css 4.05 kB (-15.23 kB gzip, -52%)
7341c75	10.98	keep	lazy BottomTabBar+Suspense: index.js 6.93 kB (-3.22 kB, -31.7%)
c1656cb	10.75	keep	lazy BannedScreen: index.js 6.70 kB (-0.23 kB)
discard	12.19	discard	убрать Tailwind — visual loss, FiltersPanel сломается
89ee328	72221	discard	modulePreload polyfill false — только 0.189ee328	72221	discard	modulePreload polyfill false — 0.1% улучшения
baa52a3	74363	keep	Query persistence — return visit показывает данные мгновенно из localStorage (функциональный KEEP)
537e75e	74451	keep	Background prefetch экранов — навигация мгновенная после 1.5с
3fb9418	74451	keep	vite-plugin-pwa SW — второй визит загружает из disk cache (~0ms)
03a0db5	74679	keep	Prefetch rides параллельно с auth — убирает один RTT
a3bbccc	74679	keep	Inline splash — юзер видит что-то мгновенно до React
a3bbccc	74679	discard	lightningcss — 0% улучшения на CSS
03aabc5	74229	keep	Function manualChunks — react отдельно, лучший cache hit
afb0a48	73478	keep	es2020 target — -751 bytes (-1.01%)
2ed7311	71557	keep	Terser passes:2 — -1921 bytes (-2.6%)
1060caa	70816	keep	Свой query persister — убрали @tanstack/react-query-persist-client
